_id,id,title,release_date,popularity,vote_average,vote_count,release_year
661ec0a782636514977a4fb5,693134,Dune: Part Two,27-02-2024,4004.451,8.308,2868,2024
661ec0a782636514977a4fb6,1011985,Kung Fu Panda 4,02-03-2024,2981.987,7.139,1040,2024
661ec0a782636514977a4fb7,823464,Godzilla x Kong: The New Empire,27-03-2024,2405.98,6.723,617,2024
661ec0a782636514977a4fb8,601796,Alienoid,20-07-2022,1751.466,7.042,264,2022
661ec0a782636514977a4fb9,984324,The Wages of Fear,28-03-2024,1256.727,5.819,155,2024
661ec0a782636514977a4fba,969492,Land of Bad,25-01-2024,554.697,7.189,556,2024
661ec0a782636514977a4fbb,763215,Damsel,07-03-2024,537.059,7.143,1582,2024
661ec0a782636514977a4fbc,437342,The First Omen,03-04-2024,513.268,6.72,91,2024
661ec0a782636514977a4fbd,438631,Dune,15-09-2021,639.449,7.789,11243,2021
661ec0a782636514977a4fbe,929590,Civil War,10-04-2024,597.66,7.487,75,2024
661ec0a782636514977a4fbf,870404,Meteor,01-09-2021,308.144,5.5,92,2021
661ec0a782636514977a4fc0,1192209,Noah's Ark,05-01-2024,279.452,7,41,2024
661ec0a782636514977a4fc1,1124127,Air Force One Down,09-02-2024,300.049,6.4,68,2024
661ec0a782636514977a4fc2,1027604,Princess Cursed in Time: Alchemist's Quest,17-11-2022,290.205,7.5,12,2022
661ec0a782636514977a4fc3,653346,Kingdom of the Planet of the Apes,08-05-2024,338.772,0,0,2024
661ec0a782636514977a4fc4,1010581,My Fault,08-06-2023,274.793,7.988,2434,2023
661ec0a782636514977a4fc5,1022789,Inside Out 2,12-06-2024,229.076,0,0,2024
661ec0a782636514977a4fc6,76600,Avatar: The Way of Water,14-12-2022,255.683,7.626,11171,2022
661ec0a782636514977a4fc7,1029575,The Family Plan,14-12-2023,245.712,7.319,1122,2023
661ec0a782636514977a4fc8,1028703,The OctoGames,07-10-2022,235.314,5.6,103,2022
661ec0a782636514977a4fc9,1081620,The Weapon,17-02-2023,233.025,5.9,23,2023
661ec0a782636514977a4fca,157336,Interstellar,05-11-2014,236.4,8.4,34092,2014
661ec0a782636514977a4fcb,1022789,Inside Out 2,12-06-2024,229.076,0,0,2024
661ec0a782636514977a4fcc,897087,Freelance,05-10-2023,227.911,6.577,719,2023
661ec0a782636514977a4fcd,299536,Avengers: Infinity War,25-04-2018,220.591,8.248,28762,2018
661ec0a782636514977a4fce,299536,Avengers: Infinity War,25-04-2018,220.591,8.248,28762,2018
661ec0a782636514977a4fcf,615656,Meg 2: The Trench,02-08-2023,177.949,6.587,3062,2023
661ec0a782636514977a4fd0,802219,Bob Marley: One Love,14-02-2024,170.909,7.028,480,2024
661ec0a782636514977a4fd1,1217409,Jaque Mate,25-01-2024,148.04,5.125,12,2024
661ec0a782636514977a4fd2,299054,Expend4bles,15-09-2023,190.504,6.323,1276,2023
661ec0a782636514977a4fd3,618588,Arthur the King,15-03-2024,201.766,6.4,28,2024
661ec0a782636514977a4fd4,150540,Inside Out,09-06-2015,173.735,7.916,20217,2015
661ec0a782636514977a4fd5,414906,The Batman,01-03-2022,207.777,7.685,9443,2022
661ec0a782636514977a4fd6,1241748,Kalikot,12-03-2024,198.892,7,3,2024
661ec0a782636514977a4fd7,982940,Due Justice,24-11-2023,174.365,6.6,52,2023
661ec0a782636514977a4fd8,862557,The Hill,18-08-2023,122.545,7.729,168,2023
661ec0a782636514977a4fd9,1075794,Leo,17-11-2023,148.304,7.49,1036,2023
661ec0a782636514977a4fda,671,Harry Potter and the Philosopher's Stone,16-11-2001,184.584,7.9,26435,2001
661ec0a782636514977a4fdb,799710,The Wild,15-11-2023,147.402,5.2,10,2023
661ec0a782636514977a4fdc,949567,The Exorcism of Hannah Stevenson,14-03-2022,152.417,5.9,30,2022
661ec0a782636514977a4fdd,957304,Drive-Away Dolls,22-02-2024,118.873,5.6,152,2024
661ec0a782636514977a4fde,808,Shrek,18-05-2001,146.255,7.74,16436,2001
661ec0a782636514977a4fdf,348,Alien,25-05-1979,165.884,8.152,13817,1979
661ec0a782636514977a4fe0,297802,Aquaman,07-12-2018,193.788,6.897,13601,2018
661ec0a782636514977a4fe1,968051,The Nun II,06-09-2023,132.34,6.813,1770,2023
661ec0a782636514977a4fe2,1183905,Trunk - Locked In,24-11-2023,120.626,5.869,61,2023
661ec0a782636514977a4fe3,568124,Encanto,13-10-2021,134.605,7.606,9109,2021
661ec0a782636514977a4fe4,683361,Super Furball Saves the Future,14-10-2022,206.432,6.5,4,2022
661ec0a782636514977a4fe5,405774,Bird Box,13-12-2018,189.976,6.845,9522,2018
661ec0a782636514977a4fe6,585083,Hotel Transylvania: Transformania,31-01-2022,124.897,7.097,2587,2022
661ec0a782636514977a4fe7,1262596,Sweet Release,12-04-2024,137.583,4.5,1,2024
661ec0a782636514977a4fe8,61791,Rise of the Planet of the Apes,03-08-2011,137.128,7.3,11199,2011
661ec0a782636514977a4fe9,76341,Mad Max: Fury Road,13-05-2015,136.85,7.591,21569,2015
661ec0a782636514977a4fea,425909,Ghostbusters: Afterlife,11-11-2021,136.53,7.402,4286,2021
661ec0a782636514977a4feb,680,Pulp Fiction,10-09-1994,136.488,8.489,26944,1994
661ec0a782636514977a4fec,447277,The Little Mermaid,18-05-2023,117.335,6.388,2700,2023
661ec0a782636514977a4fed,122917,The Hobbit: The Battle of the Five Armies,10-12-2014,142.49,7.316,13757,2014
661ec0a782636514977a4fee,926378,#Unknown,10-01-2022,108.755,4.8,8,2022
661ec0a782636514977a4fef,848187,Role Play,04-01-2024,118.148,6.076,437,2024
661ec0a782636514977a4ff0,673,Harry Potter and the Prisoner of Azkaban,31-05-2004,137.907,8.016,20811,2004
661ec0a782636514977a4ff1,16320,Serenity,25-09-2005,126.982,7.375,3327,2005
661ec0a782636514977a4ff2,299537,Captain Marvel,06-03-2019,126.361,6.826,15193,2019
661ec0a782636514977a4ff3,335117,Delicious Delivery,02-04-2015,125.54,4,3,2015
661ec0a782636514977a4ff4,122,The Lord of the Rings: The Return of the King,01-12-2003,125.466,8.479,23271,2003
661ec0a782636514977a4ff5,1105407,Damaged,12-04-2024,125.128,6.3,11,2024
661ec0a782636514977a4ff6,597,Titanic,18-11-1997,137.878,7.905,24525,1997
661ec0a782636514977a4ff7,1209770,Bedspacer,05-01-2024,105.305,3.9,8,2024
661ec0a782636514977a4ff8,674,Harry Potter and the Goblet of Fire,16-11-2005,119.092,7.814,20011,2005
661ec0a782636514977a4ff9,118,Charlie and the Chocolate Factory,13-07-2005,115.584,7.052,14667,2005
661ec0a782636514977a4ffa,335984,Blade Runner 2049,04-10-2017,135.567,7.557,12997,2017
661ec0a782636514977a4ffb,934632,Rebel Moon - Part Two: The Scargiver,05-04-2024,127.481,8,2,2024
661ec0a782636514977a4ffc,381288,Split,19-01-2017,152.625,7.341,16794,2017
661ec0a782636514977a4ffd,12444,Harry Potter and the Deathly Hallows: Part 1,17-11-2010,129.841,7.756,18435,2010
661ec0a782636514977a4ffe,767,Harry Potter and the Half-Blood Prince,15-07-2009,113.338,7.693,18783,2009
661ec0a782636514977a4fff,551608,Haunting on Fraternity Row,02-11-2018,99.248,5.7,40,2018
661ec0a782636514977a5000,850165,The Iron Claw,21-12-2023,116.16,7.605,433,2023
661ec0a782636514977a5001,4935,Howl's Moving Castle,09-09-2004,118.716,8.411,9361,2004
661ec0a782636514977a5002,459003,Mavka: The Forest Song,02-03-2023,98.218,7.3,632,2023
661ec0a782636514977a5003,296096,Me Before You,01-06-2016,104.63,7.925,11900,2016
661ec0a782636514977a5004,840576,The Black Square,25-11-2021,83.238,5,13,2021
661ec0a782636514977a5005,39254,Real Steel,28-09-2011,109.585,6.997,7909,2011
661ec0a782636514977a5006,1079485,Winnie-the-Pooh: Blood and Honey 2,26-03-2024,117.078,6.9,9,2024
661ec0a782636514977a5007,206647,Spectre,26-10-2015,121.313,6.541,10183,2015
661ec0a782636514977a5008,129,Spirited Away,20-07-2001,108.793,8.539,15799,2001
661ec0a782636514977a5009,490132,Green Book,16-11-2018,116.495,8.243,11079,2018
661ec0a782636514977a500a,453395,Doctor Strange in the Multiverse of Madness,04-05-2022,114.09,7.312,8553,2022
661ec0a782636514977a500b,1076364,Carl's Date,15-06-2023,110.117,7.5,368,2023
661ec0a782636514977a500c,13,Forrest Gump,23-06-1994,108.051,8.475,26468,1994
661ec0a782636514977a500d,68428,Girls Unbutton,27-01-1994,153.801,4.5,10,1994
661ec0a782636514977a500e,963591,Those Who Call,10-12-2021,84.737,4.4,16,2021
661ec0a782636514977a500f,1267729,Strawberry Shortcake's Spring Spectacular,01-04-2024,104.017,10,1,2024
661ec0a782636514977a5010,315635,Spider-Man: Homecoming,05-07-2017,112.129,7.338,21117,2017
661ec0a782636514977a5011,854188,The Kindred,28-12-2021,80.639,6.4,112,2021
661ec0a782636514977a5012,880100,Fear,27-01-2023,84.182,5.5,43,2023
661ec0a782636514977a5013,976893,Perfect Days,10-11-2023,117.714,7.9,660,2023
661ec0a782636514977a5014,615,The Passion of the Christ,25-02-2004,90.819,7.503,4379,2004
661ec0a782636514977a5015,131631,The Hunger Games: Mockingjay - Part 1,19-11-2014,108.92,6.808,15348,2014
661ec0a782636514977a5016,50620,The Twilight Saga: Breaking Dawn - Part 2,13-11-2012,94.043,6.464,8596,2012
661ec0a782636514977a5017,1040148,"Ruby Gillman, Teenage Kraken",28-06-2023,87.815,7.3,886,2023
661ec0a782636514977a5018,205587,The Judge,08-10-2014,92.313,7.306,3880,2014
661ec0a782636514977a5019,916224,Suzume,11-11-2022,101.027,8.002,1063,2022
661ec0a782636514977a501a,1037113,Snack Shack,15-03-2024,100.952,7.514,36,2024
661ec0a782636514977a501b,127585,X-Men: Days of Future Past,15-05-2014,100.789,7.525,14814,2014
661ec0a782636514977a501c,429617,Spider-Man: Far From Home,28-06-2019,100.611,7.432,15065,2019
661ec0a782636514977a501d,476669,The King's Man,22-12-2021,100.493,6.769,4213,2021
661ec0a782636514977a501e,116236,Crazy Desire,15-03-1962,106.426,6.6,32,1962
661ec0a782636514977a501f,508943,Luca,17-06-2021,101.205,7.836,8034,2021
661ec0a782636514977a5020,339846,Baywatch,25-05-2017,135.921,6.1,7762,2017
661ec0a782636514977a5021,820525,After Everything,13-09-2023,99.002,6.9,743,2023
661ec0a782636514977a5022,12155,Alice in Wonderland,03-03-2010,83.65,6.634,13511,2010
661ec0a782636514977a5023,10191,How to Train Your Dragon,18-03-2010,94.416,7.823,12525,2010
661ec0a782636514977a5024,350,The Devil Wears Prada,29-06-2006,139.198,7.395,11586,2006
661ec0a782636514977a5025,439079,The Nun,05-09-2018,116.172,5.9,6408,2018
661ec0a782636514977a5026,760774,One Life,09-09-2023,99.375,7.8,302,2023
661ec0a782636514977a5027,497,The Green Mile,10-12-1999,98.647,8.506,16722,1999
661ec0a782636514977a5028,6844,The Ten Commandments,05-10-1956,96.05,7.8,1525,1956
661ec0a782636514977a5029,497698,Black Widow,07-07-2021,99.665,7.26,9743,2021
661ec0a782636514977a502a,629542,The Bad Guys,17-03-2022,76.407,7.6,1880,2022
661ec0a782636514977a502b,545609,Extraction,24-04-2020,95.794,7.34,5814,2020
661ec0a782636514977a502c,339403,Baby Driver,28-06-2017,106.125,7.449,15112,2017
661ec0a782636514977a502d,166426,Pirates of the Caribbean: Dead Men Tell No Tales,23-05-2017,92.476,6.652,11554,2017
661ec0a782636514977a502e,205587,The Judge,08-10-2014,92.313,7.306,3880,2014
661ec0a782636514977a502f,11824,Teen Wolf,23-08-1985,92.184,6.2,1068,1985
661ec0a782636514977a5030,1374,Rocky IV,21-11-1985,92.028,7.081,4204,1985
661ec0a782636514977a5031,408,Snow White and the Seven Dwarfs,21-12-1937,91.871,7.122,7101,1937
661ec0a782636514977a5032,983507,Good Boy,03-06-2022,75.065,6.5,184,2022
661ec0a782636514977a5033,512200,Jumanji: The Next Level,04-12-2019,74.031,6.909,8269,2019
661ec0a782636514977a5034,348893,Boyka: Undisputed IV,01-08-2016,86.488,7.129,1254,2016
661ec0a782636514977a5035,964592,Sleep,06-09-2023,100.052,6.8,58,2023
661ec0a782636514977a5036,476669,The King's Man,22-12-2021,100.493,6.768,4212,2021
661ec0a782636514977a5037,126963,Dragon Ball Z: Battle of Gods,30-03-2013,80.259,6.8,1464,2013
661ec0a782636514977a5038,1701,Con Air,05-06-1997,120.237,6.742,3946,1997
661ec0a782636514977a5039,16320,Serenity,25-09-2005,126.982,7.4,3326,2005
661ec0a782636514977a503a,588228,The Tomorrow War,03-09-2021,81.234,7.6,3164,2021
661ec0a782636514977a503b,455476,Knights of the Zodiac,27-04-2023,77.997,6.454,1055,2023
661ec0a782636514977a503c,666277,Past Lives,02-06-2023,83.333,7.802,1222,2023
661ec0a782636514977a503d,726209,Leave the World Behind,22-11-2023,77.903,6.467,2066,2023
661ec0a782636514977a503e,564,The Mummy,16-04-1999,87.251,6.9,8672,1999
661ec0a782636514977a503f,10908,Inferno,25-09-1999,77.995,6.1,295,1999
661ec0a782636514977a5040,594767,Shazam! Fury of the Gods,15-03-2023,87.535,6.569,2856,2023
661ec0a782636514977a5041,573435,Bad Boys: Ride or Die,05-06-2024,85.367,0,0,2024
661ec0a782636514977a5042,6479,I Am Legend,12-12-2007,85.27,7.202,15186,2007
661ec0a782636514977a5043,524434,Eternals,03-11-2021,85.257,6.884,7905,2021
661ec0a782636514977a5044,118249,Thriller Night,13-09-2011,85.084,6.8,81,2011
661ec0a782636514977a5045,68726,Pacific Rim,11-07-2013,85.065,6.89,11985,2013
661ec0a782636514977a5046,72190,World War Z,19-06-2013,84.335,6.811,14852,2013
661ec0a782636514977a5047,916735,Mid-Century,17-06-2022,73.568,4.5,24,2022
661ec0a782636514977a5048,14001,Dead Silence,16-03-2007,86.07,6.425,2134,2007
661ec0a782636514977a5049,585511,Luck,05-08-2022,83.578,7.796,1605,2022
661ec0a782636514977a504a,294254,Maze Runner: The Scorch Trials,09-09-2015,88.291,6.73,9974,2015
661ec0a782636514977a504b,400928,Gifted,07-04-2017,93.619,8.033,5187,2017
661ec0a782636514977a504c,626412,Alienoid: Return to the Future,10-01-2024,75.558,6.9,137,2024
661ec0a782636514977a504d,527774,Raya and the Last Dragon,03-03-2021,77.606,7.9,6527,2021
661ec0a782636514977a504e,842675,The Wandering Earth II,22-01-2023,77.128,7.2,466,2023
661ec0a782636514977a504f,699172,Intercourse: Special Sister-In-Law,07-11-2019,90.122,1,1,2019
661ec0a782636514977a5050,774825,The Ice Age Adventures of Buck Wild,28-01-2022,77.319,6.6,1639,2022
661ec0a782636514977a5051,61108,Emmanuelle 6,06-07-1988,75.954,4.2,22,1988
661ec0a782636514977a5052,28676,Amazonia: The Catherine Miles Story,09-08-1985,83.59,6.1,182,1985
661ec0a782636514977a5053,968868,Pretty Guardian Sailor Moon Cosmos The Movie,09-06-2023,69.619,6.722,18,2023
661ec0a782636514977a5054,845111,The Three Musketeers: Milady,13-12-2023,83.35,6.6,284,2023
661ec0a782636514977a5055,793445,Chernobyl: Exclusion Zone. The Movie,19-09-2019,80.27,7.9,24,2019
661ec0a782636514977a5056,126963,Dragon Ball Z: Battle of Gods,30-03-2013,80.259,6.8,1464,2013
661ec0a782636514977a5057,91314,Transformers: Age of Extinction,25-06-2014,80.157,5.928,7839,2014
661ec0a782636514977a5058,32657,Percy Jackson & the Olympians: The Lightning Thief,01-02-2010,80.062,6.215,7214,2010
661ec0a782636514977a5059,810693,Jujutsu Kaisen 0,24-12-2021,80.003,8.194,1259,2021
661ec0a782636514977a505a,406759,Moonfall,03-02-2022,72.852,6.3,2916,2022
661ec0a782636514977a505b,5548,RoboCop,17-07-1987,115.049,7.313,4840,1987
661ec0a782636514977a505c,652,Troy,13-05-2004,82.818,7.161,9770,2004
661ec0a782636514977a505d,74,War of the Worlds,28-06-2005,72.314,6.507,8041,2005
661ec0a782636514977a505e,529203,The Croods: A New Age,25-11-2020,82.072,7.5,3663,2020
661ec0a782636514977a505f,81774,Exploits of a Young Don Juan,04-11-1986,77.916,5.659,189,1986
661ec0a782636514977a5060,726209,Leave the World Behind,22-11-2023,77.903,6.468,2067,2023
661ec0a782636514977a5061,20526,TRON: Legacy,14-12-2010,77.895,6.468,6885,2010
661ec0a782636514977a5062,527774,Raya and the Last Dragon,03-03-2021,77.606,7.9,6527,2021
661ec0a782636514977a5063,76338,Thor: The Dark World,30-10-2013,77.556,6.53,16816,2013
661ec0a782636514977a5064,590223,Love and Monsters,16-10-2020,63.472,7.32,3852,2020
661ec0a782636514977a5065,209112,Batman v Superman: Dawn of Justice,23-03-2016,72.192,6,17517,2016
661ec0a782636514977a5066,628866,The Return,05-09-2020,65.192,6.9,270,2020
661ec0a782636514977a5067,378018,The Void,22-09-2016,79.46,5.938,1150,2016
661ec0a782636514977a5068,7214,Coach Carter,14-01-2005,79.454,7.567,2787,2005
661ec0a782636514977a5069,561,Constantine,08-02-2005,65.166,7.083,6836,2005
661ec0a782636514977a506a,962591,2 Kleine Kleutertjes: Een Dag Om Nooit Te Vergeten,27-04-2022,98.274,5,3,2022
661ec0a782636514977a506b,91314,Transformers: Age of Extinction,25-06-2014,80.157,5.928,7839,2014
